ResponseId,PlatformWantToWorkWith,WebframeWantToWorkWith
52,Microsoft Azure,ASP.NET;ASP.NET CORE;Astro;FastAPI;Htmx;Node.js;Nuxt.js;Solid.js;Svelte
52,Oracle Cloud Infrastructure (OCI),ASP.NET;ASP.NET CORE;Astro;FastAPI;Htmx;Node.js;Nuxt.js;Solid.js;Svelte
52,Supabase,ASP.NET;ASP.NET CORE;Astro;FastAPI;Htmx;Node.js;Nuxt.js;Solid.js;Svelte
52,Vercel,ASP.NET;ASP.NET CORE;Astro;FastAPI;Htmx;Node.js;Nuxt.js;Solid.js;Svelte
53,Amazon Web Services (AWS),Angular;AngularJS;Node.js;Spring Boot
53,Cloudflare,Angular;AngularJS;Node.js;Spring Boot
53,Oracle Cloud Infrastructure (OCI),Angular;AngularJS;Node.js;Spring Boot
53,Supabase,Angular;AngularJS;Node.js;Spring Boot
55,Cloudflare,Express;Laravel;Node.js
62,Microsoft Azure,Angular;ASP.NET;ASP.NET CORE;Blazor
65,Google Cloud,Spring Boot
72,Microsoft Azure,ASP.NET CORE;Blazor
75,Cloudflare,Phoenix;Svelte;Vue.js
75,Digital Ocean,Phoenix;Svelte;Vue.js
78,Digital Ocean,Express;FastAPI;Flask;Node.js;React;Ruby on Rails
78,Vercel,Express;FastAPI;Flask;Node.js;React;Ruby on Rails
78,Vultr,Express;FastAPI;Flask;Node.js;React;Ruby on Rails
79,Amazon Web Services (AWS),Django;FastAPI;Htmx;Spring Boot;Svelte;Vue.js
79,Cloudflare,Django;FastAPI;Htmx;Spring Boot;Svelte;Vue.js
79,Fly.io,Django;FastAPI;Htmx;Spring Boot;Svelte;Vue.js
87,Microsoft Azure,ASP.NET CORE;Express;FastAPI;Node.js;Vue.js
111,Amazon Web Services (AWS),ASP.NET;ASP.NET CORE;Express;FastAPI;Flask;jQuery;Node.js
111,Google Cloud,ASP.NET;ASP.NET CORE;Express;FastAPI;Flask;jQuery;Node.js
111,Microsoft Azure,ASP.NET;ASP.NET CORE;Express;FastAPI;Flask;jQuery;Node.js
113,Amazon Web Services (AWS),Node.js;Vue.js
113,Netlify,Node.js;Vue.js
114,Amazon Web Services (AWS),Django;FastAPI;Flask;jQuery;WordPress
114,Google Cloud,Django;FastAPI;Flask;jQuery;WordPress
114,Microsoft Azure,Django;FastAPI;Flask;jQuery;WordPress
119,Amazon Web Services (AWS),ASP.NET;ASP.NET CORE;FastAPI
119,Google Cloud,ASP.NET;ASP.NET CORE;FastAPI
121,Cloudflare,Express;Node.js;Vue.js
121,Google Cloud,Express;Node.js;Vue.js
122,Amazon Web Services (AWS),ASP.NET CORE;Next.js;Node.js;React
122,Google Cloud,ASP.NET CORE;Next.js;Node.js;React
122,Microsoft Azure,ASP.NET CORE;Next.js;Node.js;React
125,Digital Ocean,Fastify;Next.js;Node.js;Nuxt.js;React;Solid.js;Svelte;Vue.js
125,Firebase,Fastify;Next.js;Node.js;Nuxt.js;React;Solid.js;Svelte;Vue.js
125,Netlify,Fastify;Next.js;Node.js;Nuxt.js;React;Solid.js;Svelte;Vue.js
127,Amazon Web Services (AWS),Django;FastAPI;React
127,Google Cloud,Django;FastAPI;React
127,Microsoft Azure,Django;FastAPI;React
129,Firebase,ASP.NET CORE;Blazor;Htmx;jQuery;Next.js;Svelte
129,Microsoft Azure,ASP.NET CORE;Blazor;Htmx;jQuery;Next.js;Svelte
130,Microsoft Azure,ASP.NET CORE
132,Digital Ocean,NestJS;Next.js;Node.js;React
132,Vercel,NestJS;Next.js;Node.js;React
134,Cloudflare,ASP.NET CORE;React
134,Hetzner,ASP.NET CORE;React
134,Microsoft Azure,ASP.NET CORE;React
134,Oracle Cloud Infrastructure (OCI),ASP.NET CORE;React
134,OVH,ASP.NET CORE;React
138,Amazon Web Services (AWS),Laravel;Node.js;Svelte
138,Vercel,Laravel;Node.js;Svelte
140,Google Cloud,Express;Flask;NestJS;Next.js;Node.js;React;Svelte
142,Cloudflare,Angular;Drupal;jQuery;Laravel
142,OVH,Angular;Drupal;jQuery;Laravel
150,Supabase,Deno;Express;jQuery;Node.js;Strapi;Svelte
151,Amazon Web Services (AWS),Express;Next.js;Node.js;Nuxt.js;React
151,Microsoft Azure,Express;Next.js;Node.js;Nuxt.js;React
156,Amazon Web Services (AWS),Angular;Django;Laravel;Node.js;React;Spring Boot;WordPress
156,Google Cloud,Angular;Django;Laravel;Node.js;React;Spring Boot;WordPress
156,Managed Hosting,Angular;Django;Laravel;Node.js;React;Spring Boot;WordPress
158,"Linode, now Akamai",ASP.NET CORE;Django;Htmx;React
158,Microsoft Azure,ASP.NET CORE;Django;Htmx;React
158,Supabase,ASP.NET CORE;Django;Htmx;React
158,VMware,ASP.NET CORE;Django;Htmx;React
159,Amazon Web Services (AWS),Angular;Express;NestJS;Next.js;Node.js;React;Svelte;Vue.js
159,Microsoft Azure,Angular;Express;NestJS;Next.js;Node.js;React;Svelte;Vue.js
163,Amazon Web Services (AWS),Astro;FastAPI;Node.js;React;Remix;Solid.js
163,Cloudflare,Astro;FastAPI;Node.js;React;Remix;Solid.js
166,Microsoft Azure,Angular;ASP.NET;ASP.NET CORE
173,Amazon Web Services (AWS),ASP.NET;ASP.NET CORE;Htmx;jQuery;Laravel;Next.js;Node.js;React;Symfony
173,Cloudflare,ASP.NET;ASP.NET CORE;Htmx;jQuery;Laravel;Next.js;Node.js;React;Symfony
173,Google Cloud,ASP.NET;ASP.NET CORE;Htmx;jQuery;Laravel;Next.js;Node.js;React;Symfony
176,Microsoft Azure,ASP.NET;Next.js;Node.js
181,Amazon Web Services (AWS),Django;Flask;NestJS
181,Google Cloud,Django;Flask;NestJS
182,Cloudflare,ASP.NET CORE;jQuery
182,Managed Hosting,ASP.NET CORE;jQuery
183,Microsoft Azure,ASP.NET CORE;Next.js;React
185,Cloudflare,Deno;Htmx;Svelte
185,Hetzner,Deno;Htmx;Svelte
185,Oracle Cloud Infrastructure (OCI),Deno;Htmx;Svelte
189,Amazon Web Services (AWS),NestJS
189,Vercel,NestJS
190,Microsoft Azure,ASP.NET CORE;Blazor
191,Amazon Web Services (AWS),Angular;ASP.NET CORE;Blazor;Htmx;React
191,Microsoft Azure,Angular;ASP.NET CORE;Blazor;Htmx;React
192,Amazon Web Services (AWS),Elm;Node.js
196,Amazon Web Services (AWS),Angular;ASP.NET;ASP.NET CORE;Blazor;Django;Express;Laravel;Node.js;Spring Boot;Vue.js
196,Cloudflare,Angular;ASP.NET;ASP.NET CORE;Blazor;Django;Express;Laravel;Node.js;Spring Boot;Vue.js
196,Digital Ocean,Angular;ASP.NET;ASP.NET CORE;Blazor;Django;Express;Laravel;Node.js;Spring Boot;Vue.js
196,Firebase,Angular;ASP.NET;ASP.NET CORE;Blazor;Django;Express;Laravel;Node.js;Spring Boot;Vue.js
196,Google Cloud,Angular;ASP.NET;ASP.NET CORE;Blazor;Django;Express;Laravel;Node.js;Spring Boot;Vue.js
196,Microsoft Azure,Angular;ASP.NET;ASP.NET CORE;Blazor;Django;Express;Laravel;Node.js;Spring Boot;Vue.js
196,Vercel,Angular;ASP.NET;ASP.NET CORE;Blazor;Django;Express;Laravel;Node.js;Spring Boot;Vue.js
200,Vultr,React
205,Amazon Web Services (AWS),Elm;Express;React
208,Amazon Web Services (AWS),Htmx;Svelte
208,Cloudflare,Htmx;Svelte
208,Digital Ocean,Htmx;Svelte
208,Microsoft Azure,Htmx;Svelte
208,Vercel,Htmx;Svelte
209,OVH,React
210,Amazon Web Services (AWS),Angular;Express;Flask;Node.js
210,Databricks,Angular;Express;Flask;Node.js
210,Microsoft Azure,Angular;Express;Flask;Node.js
211,OVH,FastAPI;Flask
212,Amazon Web Services (AWS),Vue.js
212,Heroku,Vue.js
215,Digital Ocean,Next.js;React
216,Microsoft Azure,Angular;ASP.NET CORE
218,Microsoft Azure,ASP.NET;ASP.NET CORE;Blazor;Vue.js
223,OVH,Django;Flask;Node.js
226,Hetzner,Astro;Svelte
230,Amazon Web Services (AWS),Node.js
235,Firebase,Angular;Next.js;Node.js;React
235,Google Cloud,Angular;Next.js;Node.js;React
238,Microsoft Azure,Angular;ASP.NET CORE
242,VMware,Laravel;Vue.js
243,Amazon Web Services (AWS),Laravel;React
243,Digital Ocean,Laravel;React
243,Firebase,Laravel;React
243,Vercel,Laravel;React
254,Amazon Web Services (AWS),Angular;ASP.NET CORE;Node.js
256,Amazon Web Services (AWS),FastAPI
262,Vercel,Next.js;Node.js;React;Vue.js
263,Hetzner,ASP.NET CORE;Blazor
263,Microsoft Azure,ASP.NET CORE;Blazor
274,Google Cloud,Spring Boot
274,Microsoft Azure,Spring Boot
274,VMware,Spring Boot
275,Amazon Web Services (AWS),Fastify;Next.js;Node.js;React
275,Netlify,Fastify;Next.js;Node.js;React
275,Vercel,Fastify;Next.js;Node.js;React
276,Digital Ocean,ASP.NET CORE;Next.js;React
276,Microsoft Azure,ASP.NET CORE;Next.js;React
276,Oracle Cloud Infrastructure (OCI),ASP.NET CORE;Next.js;React
280,Amazon Web Services (AWS),ASP.NET;ASP.NET CORE;Django;Spring Boot
281,Google Cloud,ASP.NET;ASP.NET CORE;Django
284,Firebase,Django;FastAPI;NestJS;Next.js;Node.js;Phoenix;React
284,Microsoft Azure,Django;FastAPI;NestJS;Next.js;Node.js;Phoenix;React
284,Supabase,Django;FastAPI;NestJS;Next.js;Node.js;Phoenix;React
285,Digital Ocean,Django;FastAPI;Fastify;Next.js;Node.js;React;Solid.js
285,Fly.io,Django;FastAPI;Fastify;Next.js;Node.js;React;Solid.js
285,Hetzner,Django;FastAPI;Fastify;Next.js;Node.js;React;Solid.js
285,Supabase,Django;FastAPI;Fastify;Next.js;Node.js;React;Solid.js
293,Amazon Web Services (AWS),Angular;AngularJS;Node.js;Ruby on Rails;Spring Boot
293,Firebase,Angular;AngularJS;Node.js;Ruby on Rails;Spring Boot
293,Google Cloud,Angular;AngularJS;Node.js;Ruby on Rails;Spring Boot
293,OpenShift,Angular;AngularJS;Node.js;Ruby on Rails;Spring Boot
293,OpenStack,Angular;AngularJS;Node.js;Ruby on Rails;Spring Boot
293,VMware,Angular;AngularJS;Node.js;Ruby on Rails;Spring Boot
299,Cloudflare,Flask;Spring Boot
299,"Linode, now Akamai",Flask;Spring Boot
300,Cloudflare,Angular;ASP.NET;ASP.NET CORE;Django;React;WordPress
300,Microsoft Azure,Angular;ASP.NET;ASP.NET CORE;Django;React;WordPress
311,Amazon Web Services (AWS),Symfony
315,Google Cloud,Astro;Deno;NestJS;Next.js;React
315,Heroku,Astro;Deno;NestJS;Next.js;React
315,Microsoft Azure,Astro;Deno;NestJS;Next.js;React
318,Amazon Web Services (AWS),Django;FastAPI;NestJS
318,Cloudflare,Django;FastAPI;NestJS
318,Netlify,Django;FastAPI;NestJS
320,Amazon Web Services (AWS),Node.js;Spring Boot;Svelte
324,Google Cloud,Astro;Next.js;React
324,Vercel,Astro;Next.js;React
326,Amazon Web Services (AWS),Laravel;Phoenix;Svelte
331,Hetzner,React;Svelte
331,Netlify,React;Svelte
331,Vercel,React;Svelte
333,Amazon Web Services (AWS),ASP.NET;ASP.NET CORE
341,Amazon Web Services (AWS),Django;jQuery;React
341,Google Cloud,Django;jQuery;React
342,Amazon Web Services (AWS),Spring Boot
342,Google Cloud,Spring Boot
347,Amazon Web Services (AWS),Spring Boot
351,Amazon Web Services (AWS),Flask;Laravel;Nuxt.js;React;Ruby on Rails;Vue.js
351,Cloudflare,Flask;Laravel;Nuxt.js;React;Ruby on Rails;Vue.js
351,Firebase,Flask;Laravel;Nuxt.js;React;Ruby on Rails;Vue.js
351,Google Cloud,Flask;Laravel;Nuxt.js;React;Ruby on Rails;Vue.js
351,OpenStack,Flask;Laravel;Nuxt.js;React;Ruby on Rails;Vue.js
352,Amazon Web Services (AWS),Angular;AngularJS;ASP.NET;ASP.NET CORE;Express;Gatsby;NestJS;Next.js;Node.js;React;Spring Boot
352,Microsoft Azure,Angular;AngularJS;ASP.NET;ASP.NET CORE;Express;Gatsby;NestJS;Next.js;Node.js;React;Spring Boot
353,Amazon Web Services (AWS),ASP.NET CORE;Blazor;Node.js
353,Microsoft Azure,ASP.NET CORE;Blazor;Node.js
355,Amazon Web Services (AWS),Spring Boot
358,Amazon Web Services (AWS),Ruby on Rails
358,Heroku,Ruby on Rails
359,Amazon Web Services (AWS),Deno;Node.js
359,Cloudflare,Deno;Node.js
359,Digital Ocean,Deno;Node.js
359,Firebase,Deno;Node.js
359,Google Cloud,Deno;Node.js
359,"Linode, now Akamai",Deno;Node.js
359,Microsoft Azure,Deno;Node.js
359,VMware,Deno;Node.js
360,Amazon Web Services (AWS),ASP.NET CORE;Vue.js
360,Cloudflare,ASP.NET CORE;Vue.js
360,Google Cloud,ASP.NET CORE;Vue.js
360,Microsoft Azure,ASP.NET CORE;Vue.js
367,Amazon Web Services (AWS),NestJS;Next.js;React
372,Amazon Web Services (AWS),Node.js;React;Spring Boot
373,Amazon Web Services (AWS),ASP.NET CORE;Ruby on Rails
373,Cloudflare,ASP.NET CORE;Ruby on Rails
378,Microsoft Azure,ASP.NET CORE;React;Svelte
380,Amazon Web Services (AWS),Svelte;Vue.js
380,Cloudflare,Svelte;Vue.js
380,Google Cloud,Svelte;Vue.js
380,Hetzner,Svelte;Vue.js
385,Cloudflare,ASP.NET CORE;Blazor;Django;Htmx;Vue.js
385,Digital Ocean,ASP.NET CORE;Blazor;Django;Htmx;Vue.js
385,Google Cloud,ASP.NET CORE;Blazor;Django;Htmx;Vue.js
385,Microsoft Azure,ASP.NET CORE;Blazor;Django;Htmx;Vue.js
386,Amazon Web Services (AWS),Django;FastAPI
386,Google Cloud,Django;FastAPI
389,Cloudflare,Django;FastAPI;Next.js;Node.js;React
389,Google Cloud,Django;FastAPI;Next.js;Node.js;React
389,Vercel,Django;FastAPI;Next.js;Node.js;React
391,Heroku,Next.js;Node.js;React;Ruby on Rails;Solid.js;Svelte
391,Hetzner,Next.js;Node.js;React;Ruby on Rails;Solid.js;Svelte
393,Amazon Web Services (AWS),React
395,Amazon Web Services (AWS),Express;Next.js;Node.js;Nuxt.js;React;Remix;Vue.js
395,Cloudflare,Express;Next.js;Node.js;Nuxt.js;React;Remix;Vue.js
395,Firebase,Express;Next.js;Node.js;Nuxt.js;React;Remix;Vue.js
395,Google Cloud,Express;Next.js;Node.js;Nuxt.js;React;Remix;Vue.js
395,IBM Cloud Or Watson,Express;Next.js;Node.js;Nuxt.js;React;Remix;Vue.js
395,Microsoft Azure,Express;Next.js;Node.js;Nuxt.js;React;Remix;Vue.js
395,OpenShift,Express;Next.js;Node.js;Nuxt.js;React;Remix;Vue.js
395,OpenStack,Express;Next.js;Node.js;Nuxt.js;React;Remix;Vue.js
395,Supabase,Express;Next.js;Node.js;Nuxt.js;React;Remix;Vue.js
395,Vercel,Express;Next.js;Node.js;Nuxt.js;React;Remix;Vue.js
395,VMware,Express;Next.js;Node.js;Nuxt.js;React;Remix;Vue.js
399,Amazon Web Services (AWS),Angular;ASP.NET CORE;Htmx;jQuery;React
399,Google Cloud,Angular;ASP.NET CORE;Htmx;jQuery;React
399,Microsoft Azure,Angular;ASP.NET CORE;Htmx;jQuery;React
400,Digital Ocean,Htmx;Vue.js
400,Google Cloud,Htmx;Vue.js
408,Amazon Web Services (AWS),FastAPI;React;Spring Boot;Vue.js
408,Cloudflare,FastAPI;React;Spring Boot;Vue.js
408,Fly.io,FastAPI;React;Spring Boot;Vue.js
408,Hetzner,FastAPI;React;Spring Boot;Vue.js
408,Oracle Cloud Infrastructure (OCI),FastAPI;React;Spring Boot;Vue.js
411,Amazon Web Services (AWS),Express;Node.js;React
412,Amazon Web Services (AWS),AngularJS;jQuery;Node.js;Spring Boot;Vue.js;Yii 2
412,Google Cloud,AngularJS;jQuery;Node.js;Spring Boot;Vue.js;Yii 2
412,Microsoft Azure,AngularJS;jQuery;Node.js;Spring Boot;Vue.js;Yii 2
412,VMware,AngularJS;jQuery;Node.js;Spring Boot;Vue.js;Yii 2
413,Amazon Web Services (AWS),Deno;Express;Fastify;Node.js;React;Svelte
413,Netlify,Deno;Express;Fastify;Node.js;React;Svelte
413,Supabase,Deno;Express;Fastify;Node.js;React;Svelte
417,Amazon Web Services (AWS),Phoenix
417,Fly.io,Phoenix
419,Amazon Web Services (AWS),Angular;AngularJS;Express;jQuery;Node.js;React;Spring Boot;Vue.js;WordPress;Yii 2
419,Cloudflare,Angular;AngularJS;Express;jQuery;Node.js;React;Spring Boot;Vue.js;WordPress;Yii 2
419,Colocation,Angular;AngularJS;Express;jQuery;Node.js;React;Spring Boot;Vue.js;WordPress;Yii 2
419,Digital Ocean,Angular;AngularJS;Express;jQuery;Node.js;React;Spring Boot;Vue.js;WordPress;Yii 2
419,Firebase,Angular;AngularJS;Express;jQuery;Node.js;React;Spring Boot;Vue.js;WordPress;Yii 2
419,Google Cloud,Angular;AngularJS;Express;jQuery;Node.js;React;Spring Boot;Vue.js;WordPress;Yii 2
419,Microsoft Azure,Angular;AngularJS;Express;jQuery;Node.js;React;Spring Boot;Vue.js;WordPress;Yii 2
421,Amazon Web Services (AWS),FastAPI;React
421,Cloudflare,FastAPI;React
421,Digital Ocean,FastAPI;React
421,Heroku,FastAPI;React
421,Hetzner,FastAPI;React
430,Heroku,Node.js;Symfony
430,VMware,Node.js;Symfony
432,Amazon Web Services (AWS),ASP.NET;Node.js
432,Cloudflare,ASP.NET;Node.js
432,Firebase,ASP.NET;Node.js
432,Google Cloud,ASP.NET;Node.js
432,VMware,ASP.NET;Node.js
433,Google Cloud,Angular
434,Amazon Web Services (AWS),ASP.NET CORE;Gatsby;Node.js;React;WordPress
434,Cloudflare,ASP.NET CORE;Gatsby;Node.js;React;WordPress
434,Microsoft Azure,ASP.NET CORE;Gatsby;Node.js;React;WordPress
434,Netlify,ASP.NET CORE;Gatsby;Node.js;React;WordPress
444,Amazon Web Services (AWS),ASP.NET CORE;Next.js;Node.js;React
444,Netlify,ASP.NET CORE;Next.js;Node.js;React
444,OpenStack,ASP.NET CORE;Next.js;Node.js;React
444,Vercel,ASP.NET CORE;Next.js;Node.js;React
445,Cloudflare,Next.js;Play Framework
445,Firebase,Next.js;Play Framework
445,Google Cloud,Next.js;Play Framework
450,Amazon Web Services (AWS),Angular;AngularJS;Next.js;Node.js
450,Cloudflare,Angular;AngularJS;Next.js;Node.js
450,Firebase,Angular;AngularJS;Next.js;Node.js
452,Firebase,WordPress
452,Managed Hosting,WordPress
453,Amazon Web Services (AWS),Angular;ASP.NET;ASP.NET CORE;Express;Flask
453,Google Cloud,Angular;ASP.NET;ASP.NET CORE;Express;Flask
453,Microsoft Azure,Angular;ASP.NET;ASP.NET CORE;Express;Flask
454,Microsoft Azure,jQuery
464,Amazon Web Services (AWS),ASP.NET;Express;Htmx;Next.js;Node.js;React;Svelte
464,Cloudflare,ASP.NET;Express;Htmx;Next.js;Node.js;React;Svelte
464,Firebase,ASP.NET;Express;Htmx;Next.js;Node.js;React;Svelte
464,Google Cloud,ASP.NET;Express;Htmx;Next.js;Node.js;React;Svelte
464,Microsoft Azure,ASP.NET;Express;Htmx;Next.js;Node.js;React;Svelte
466,Amazon Web Services (AWS),Django;FastAPI;Flask;Htmx
466,Google Cloud,Django;FastAPI;Flask;Htmx
469,Managed Hosting,FastAPI
471,Cloudflare,Angular
471,Managed Hosting,Angular
475,Alibaba Cloud,ASP.NET;ASP.NET CORE;Blazor;Deno;Django;FastAPI;Flask;jQuery;Next.js;Node.js;Phoenix;React;Ruby on Rails;Svelte;Vue.js;WordPress
475,Amazon Web Services (AWS),ASP.NET;ASP.NET CORE;Blazor;Deno;Django;FastAPI;Flask;jQuery;Next.js;Node.js;Phoenix;React;Ruby on Rails;Svelte;Vue.js;WordPress
475,Firebase,ASP.NET;ASP.NET CORE;Blazor;Deno;Django;FastAPI;Flask;jQuery;Next.js;Node.js;Phoenix;React;Ruby on Rails;Svelte;Vue.js;WordPress
475,Fly.io,ASP.NET;ASP.NET CORE;Blazor;Deno;Django;FastAPI;Flask;jQuery;Next.js;Node.js;Phoenix;React;Ruby on Rails;Svelte;Vue.js;WordPress
475,Google Cloud,ASP.NET;ASP.NET CORE;Blazor;Deno;Django;FastAPI;Flask;jQuery;Next.js;Node.js;Phoenix;React;Ruby on Rails;Svelte;Vue.js;WordPress
475,IBM Cloud Or Watson,ASP.NET;ASP.NET CORE;Blazor;Deno;Django;FastAPI;Flask;jQuery;Next.js;Node.js;Phoenix;React;Ruby on Rails;Svelte;Vue.js;WordPress
475,Microsoft Azure,ASP.NET;ASP.NET CORE;Blazor;Deno;Django;FastAPI;Flask;jQuery;Next.js;Node.js;Phoenix;React;Ruby on Rails;Svelte;Vue.js;WordPress
475,OpenShift,ASP.NET;ASP.NET CORE;Blazor;Deno;Django;FastAPI;Flask;jQuery;Next.js;Node.js;Phoenix;React;Ruby on Rails;Svelte;Vue.js;WordPress
475,Supabase,ASP.NET;ASP.NET CORE;Blazor;Deno;Django;FastAPI;Flask;jQuery;Next.js;Node.js;Phoenix;React;Ruby on Rails;Svelte;Vue.js;WordPress
480,Amazon Web Services (AWS),React;Spring Boot
480,Google Cloud,React;Spring Boot
480,Microsoft Azure,React;Spring Boot
484,Amazon Web Services (AWS),Htmx;NestJS;Next.js;Node.js;Nuxt.js;Phoenix;React;Vue.js
484,Microsoft Azure,Htmx;NestJS;Next.js;Node.js;Nuxt.js;Phoenix;React;Vue.js
486,Amazon Web Services (AWS),Express;Node.js;React
489,Firebase,Deno;Express;Gatsby;NestJS;Next.js;React;Svelte
492,Digital Ocean,Next.js;Node.js;React;WordPress
492,Vercel,Next.js;Node.js;React;WordPress
493,Microsoft Azure,React;Spring Boot;Svelte
493,Oracle Cloud Infrastructure (OCI),React;Spring Boot;Svelte
494,Amazon Web Services (AWS),Astro;Express;Gatsby;Next.js;Node.js
494,Netlify,Astro;Express;Gatsby;Next.js;Node.js
495,Amazon Web Services (AWS),jQuery
495,Cloudflare,jQuery
497,Google Cloud,Flask
499,Microsoft Azure,Angular;ASP.NET;ASP.NET CORE;jQuery
500,Cloudflare,Express;Node.js;Svelte
500,Google Cloud,Express;Node.js;Svelte
500,Vercel,Express;Node.js;Svelte
502,Amazon Web Services (AWS),ASP.NET;ASP.NET CORE;Blazor;React
502,Google Cloud,ASP.NET;ASP.NET CORE;Blazor;React
506,Amazon Web Services (AWS),Django;Node.js;Vue.js
506,Google Cloud,Django;Node.js;Vue.js
506,Hetzner,Django;Node.js;Vue.js
507,Amazon Web Services (AWS),Angular;jQuery;Laravel;Node.js;React
507,Digital Ocean,Angular;jQuery;Laravel;Node.js;React
507,Microsoft Azure,Angular;jQuery;Laravel;Node.js;React
509,Cloudflare,ASP.NET CORE;Blazor
509,Microsoft Azure,ASP.NET CORE;Blazor
511,Amazon Web Services (AWS),Angular;ASP.NET CORE;React
515,Amazon Web Services (AWS),Express;Flask;jQuery;Next.js;React;Ruby on Rails
515,Digital Ocean,Express;Flask;jQuery;Next.js;React;Ruby on Rails
515,Google Cloud,Express;Flask;jQuery;Next.js;React;Ruby on Rails
515,Microsoft Azure,Express;Flask;jQuery;Next.js;React;Ruby on Rails
515,Render,Express;Flask;jQuery;Next.js;React;Ruby on Rails
515,Supabase,Express;Flask;jQuery;Next.js;React;Ruby on Rails
515,Vercel,Express;Flask;jQuery;Next.js;React;Ruby on Rails
523,Amazon Web Services (AWS),Django;FastAPI;Flask
523,Cloudflare,Django;FastAPI;Flask
523,Google Cloud,Django;FastAPI;Flask
529,Amazon Web Services (AWS),ASP.NET;ASP.NET CORE;jQuery;Node.js
529,Firebase,ASP.NET;ASP.NET CORE;jQuery;Node.js
529,Microsoft Azure,ASP.NET;ASP.NET CORE;jQuery;Node.js
531,Microsoft Azure,ASP.NET CORE;Blazor;Htmx;React;Vue.js
533,"Linode, now Akamai",Node.js;Vue.js
535,Amazon Web Services (AWS),ASP.NET;ASP.NET CORE;Django;Express;NestJS;Next.js;Node.js
543,"Linode, now Akamai",FastAPI;Flask
546,Amazon Web Services (AWS),Django;Flask;Htmx
546,Cloudflare,Django;Flask;Htmx
546,Digital Ocean,Django;Flask;Htmx
548,Amazon Web Services (AWS),Astro;Node.js;Solid.js;Svelte
548,Cloudflare,Astro;Node.js;Solid.js;Svelte
549,Amazon Web Services (AWS),Angular;Express;Node.js;Spring Boot
549,Firebase,Angular;Express;Node.js;Spring Boot
549,Microsoft Azure,Angular;Express;Node.js;Spring Boot
553,Microsoft Azure,ASP.NET CORE
554,Amazon Web Services (AWS),ASP.NET CORE;Blazor;Htmx
