ResponseId,PlatformHaveWorkedWith,WebframeHaveWorkedWith
142,Managed Hosting,Angular;Drupal;jQuery;Laravel;React;Vue.js
142,OVH,Angular;Drupal;jQuery;Laravel;React;Vue.js
150,Heroku,Express;Htmx;jQuery;Node.js;Strapi;Svelte;Vue.js;Yii 2
150,Netlify,Express;Htmx;jQuery;Node.js;Strapi;Svelte;Vue.js;Yii 2
150,Supabase,Express;Htmx;jQuery;Node.js;Strapi;Svelte;Vue.js;Yii 2
150,Vercel,Express;Htmx;jQuery;Node.js;Strapi;Svelte;Vue.js;Yii 2
151,Amazon Web Services (AWS),AngularJS;ASP.NET CORE;Express;Node.js;React
151,Microsoft Azure,AngularJS;ASP.NET CORE;Express;Node.js;React
156,Amazon Web Services (AWS),Django;Laravel;Node.js;React;Spring Boot;WordPress
156,Google Cloud,Django;Laravel;Node.js;React;Spring Boot;WordPress
156,Managed Hosting,Django;Laravel;Node.js;React;Spring Boot;WordPress
158,Microsoft Azure,ASP.NET;ASP.NET CORE;React
159,Amazon Web Services (AWS),Angular;Express;NestJS;Next.js;Node.js;React;WordPress
159,Managed Hosting,Angular;Express;NestJS;Next.js;Node.js;React;WordPress
163,Amazon Web Services (AWS),Astro;Express;FastAPI;Next.js;Node.js;React
166,Microsoft Azure,Angular;ASP.NET;ASP.NET CORE;jQuery
173,Google Cloud,jQuery;Laravel;React
173,OVH,jQuery;Laravel;React
176,Amazon Web Services (AWS),AngularJS;ASP.NET;Next.js;Node.js;Spring Boot
176,Microsoft Azure,AngularJS;ASP.NET;Next.js;Node.js;Spring Boot
181,Amazon Web Services (AWS),Django;Express;Flask;jQuery;NestJS;Node.js
181,Google Cloud,Django;Express;Flask;jQuery;NestJS;Node.js
182,Cloudflare,ASP.NET CORE;Blazor;jQuery;React;WordPress
182,Digital Ocean,ASP.NET CORE;Blazor;jQuery;React;WordPress
182,Managed Hosting,ASP.NET CORE;Blazor;jQuery;React;WordPress
182,Microsoft Azure,ASP.NET CORE;Blazor;jQuery;React;WordPress
182,Netlify,ASP.NET CORE;Blazor;jQuery;React;WordPress
182,Oracle Cloud Infrastructure (OCI),ASP.NET CORE;Blazor;jQuery;React;WordPress
182,Vercel,ASP.NET CORE;Blazor;jQuery;React;WordPress
183,Amazon Web Services (AWS),Angular;ASP.NET;ASP.NET CORE;Blazor;React
183,Microsoft Azure,Angular;ASP.NET;ASP.NET CORE;Blazor;React
185,Amazon Web Services (AWS),Deno;FastAPI;Node.js;React
185,Oracle Cloud Infrastructure (OCI),Deno;FastAPI;Node.js;React
189,Amazon Web Services (AWS),Angular;NestJS;Node.js
189,Netlify,Angular;NestJS;Node.js
189,Vercel,Angular;NestJS;Node.js
190,Amazon Web Services (AWS),Angular;AngularJS;ASP.NET;ASP.NET CORE;Blazor;jQuery;Node.js;React;Vue.js
190,Microsoft Azure,Angular;AngularJS;ASP.NET;ASP.NET CORE;Blazor;jQuery;Node.js;React;Vue.js
191,Microsoft Azure,ASP.NET CORE;Blazor
192,Amazon Web Services (AWS),Elm;Node.js
196,Amazon Web Services (AWS),Angular;Django;Express;Node.js;Spring Boot
196,Firebase,Angular;Django;Express;Node.js;Spring Boot
196,Google Cloud,Angular;Django;Express;Node.js;Spring Boot
196,Microsoft Azure,Angular;Django;Express;Node.js;Spring Boot
200,Vultr,React;Vue.js
205,Amazon Web Services (AWS),ASP.NET;ASP.NET CORE;Express;React
205,Microsoft Azure,ASP.NET;ASP.NET CORE;Express;React
208,Amazon Web Services (AWS),Htmx;Node.js;Svelte
208,Cloudflare,Htmx;Node.js;Svelte
208,Digital Ocean,Htmx;Node.js;Svelte
208,Google Cloud,Htmx;Node.js;Svelte
208,Vercel,Htmx;Node.js;Svelte
209,Firebase,Django;FastAPI;Flask;React;Symfony
209,OVH,Django;FastAPI;Flask;React;Symfony
210,Amazon Web Services (AWS),Angular;Express;Flask;Node.js
210,Databricks,Angular;Express;Flask;Node.js
210,Microsoft Azure,Angular;Express;Flask;Node.js
211,Hetzner,FastAPI;Flask
211,OVH,FastAPI;Flask
212,Amazon Web Services (AWS),Vue.js;WordPress
212,Heroku,Vue.js;WordPress
215,Digital Ocean,Next.js;React
216,Google Cloud,Angular;ASP.NET;ASP.NET CORE;jQuery;Node.js
216,Microsoft Azure,Angular;ASP.NET;ASP.NET CORE;jQuery;Node.js
218,Amazon Web Services (AWS),Angular;ASP.NET;ASP.NET CORE;Express;Node.js;Vue.js
218,Microsoft Azure,Angular;ASP.NET;ASP.NET CORE;Express;Node.js;Vue.js
218,Supabase,Angular;ASP.NET;ASP.NET CORE;Express;Node.js;Vue.js
223,OVH,Django;Flask;jQuery;Node.js
226,Amazon Web Services (AWS),Angular;Astro;Express;Next.js;Node.js;React;Svelte;Vue.js
226,Google Cloud,Angular;Astro;Express;Next.js;Node.js;React;Svelte;Vue.js
226,Hetzner,Angular;Astro;Express;Next.js;Node.js;React;Svelte;Vue.js
230,Amazon Web Services (AWS),Angular;AngularJS;jQuery;Next.js;Node.js;React;Vue.js
230,Google Cloud,Angular;AngularJS;jQuery;Next.js;Node.js;React;Vue.js
235,Firebase,Angular;Next.js;Node.js;React
235,Google Cloud,Angular;Next.js;Node.js;React
238,Microsoft Azure,Angular;ASP.NET CORE
242,VMware,Laravel;Vue.js
243,Firebase,Angular;AngularJS;ASP.NET;ASP.NET CORE;Django;Express;jQuery;Laravel;Node.js;React;WordPress
243,Microsoft Azure,Angular;AngularJS;ASP.NET;ASP.NET CORE;Django;Express;jQuery;Laravel;Node.js;React;WordPress
243,OVH,Angular;AngularJS;ASP.NET;ASP.NET CORE;Django;Express;jQuery;Laravel;Node.js;React;WordPress
254,Amazon Web Services (AWS),Angular;AngularJS;ASP.NET;ASP.NET CORE;jQuery;NestJS;Node.js;React;Vue.js
254,Microsoft Azure,Angular;AngularJS;ASP.NET;ASP.NET CORE;jQuery;NestJS;Node.js;React;Vue.js
256,Amazon Web Services (AWS),FastAPI;Flask;React;Spring Boot
262,Amazon Web Services (AWS),Next.js;Node.js;React
262,Heroku,Next.js;Node.js;React
262,Netlify,Next.js;Node.js;React
262,Vercel,Next.js;Node.js;React
263,Hetzner,ASP.NET CORE
263,Microsoft Azure,ASP.NET CORE
274,Google Cloud,Angular;AngularJS;ASP.NET;ASP.NET CORE;Spring Boot
274,Microsoft Azure,Angular;AngularJS;ASP.NET;ASP.NET CORE;Spring Boot
274,VMware,Angular;AngularJS;ASP.NET;ASP.NET CORE;Spring Boot
275,Amazon Web Services (AWS),Fastify;Flask;Next.js;Node.js;React
275,Netlify,Fastify;Flask;Next.js;Node.js;React
275,Vercel,Fastify;Flask;Next.js;Node.js;React
276,Microsoft Azure,AngularJS;ASP.NET;ASP.NET CORE;jQuery;Next.js;React
276,Oracle Cloud Infrastructure (OCI),AngularJS;ASP.NET;ASP.NET CORE;jQuery;Next.js;React
280,Amazon Web Services (AWS),ASP.NET;ASP.NET CORE;Spring Boot
281,Google Cloud,Django
284,Firebase,ASP.NET;Django;Express;FastAPI;NestJS;Next.js;Node.js;React;Spring Boot;Strapi
284,Microsoft Azure,ASP.NET;Django;Express;FastAPI;NestJS;Next.js;Node.js;React;Spring Boot;Strapi
284,OVH,ASP.NET;Django;Express;FastAPI;NestJS;Next.js;Node.js;React;Spring Boot;Strapi
284,Render,ASP.NET;Django;Express;FastAPI;NestJS;Next.js;Node.js;React;Spring Boot;Strapi
284,Supabase,ASP.NET;Django;Express;FastAPI;NestJS;Next.js;Node.js;React;Spring Boot;Strapi
284,Vercel,ASP.NET;Django;Express;FastAPI;NestJS;Next.js;Node.js;React;Spring Boot;Strapi
285,Fly.io,Express;FastAPI;Fastify;Next.js;Node.js;React
285,Supabase,Express;FastAPI;Fastify;Next.js;Node.js;React
293,Amazon Web Services (AWS),Spring Boot
293,VMware,Spring Boot
299,Cloudflare,Flask;Spring Boot
299,"Linode, now Akamai",Flask;Spring Boot
300,Cloudflare,Angular;ASP.NET;ASP.NET CORE;Django;React;WordPress
300,Microsoft Azure,Angular;ASP.NET;ASP.NET CORE;Django;React;WordPress
311,Amazon Web Services (AWS),Symfony
315,Google Cloud,Astro;NestJS;Next.js;React
315,Heroku,Astro;NestJS;Next.js;React
315,Microsoft Azure,Astro;NestJS;Next.js;React
318,Amazon Web Services (AWS),Django;NestJS
318,Cloudflare,Django;NestJS
318,Netlify,Django;NestJS
320,Amazon Web Services (AWS),jQuery;Node.js;Play Framework;React;Spring Boot
320,OVH,jQuery;Node.js;Play Framework;React;Spring Boot
324,Google Cloud,Next.js;React
324,Vercel,Next.js;React
326,Amazon Web Services (AWS),Angular;Express;Laravel;Node.js;React;Svelte;WordPress
331,Microsoft Azure,ASP.NET CORE;Node.js;React
331,Netlify,ASP.NET CORE;Node.js;React
333,Amazon Web Services (AWS),ASP.NET
341,Amazon Web Services (AWS),Angular;AngularJS;Django;Flask;jQuery;NestJS;Node.js;React;WordPress
341,Google Cloud,Angular;AngularJS;Django;Flask;jQuery;NestJS;Node.js;React;WordPress
341,Heroku,Angular;AngularJS;Django;Flask;jQuery;NestJS;Node.js;React;WordPress
342,Amazon Web Services (AWS),React;Ruby on Rails;Spring Boot
342,Google Cloud,React;Ruby on Rails;Spring Boot
342,Microsoft Azure,React;Ruby on Rails;Spring Boot
342,OpenStack,React;Ruby on Rails;Spring Boot
347,Amazon Web Services (AWS),Spring Boot
351,Amazon Web Services (AWS),Laravel;Nuxt.js;Vue.js
351,Google Cloud,Laravel;Nuxt.js;Vue.js
352,Amazon Web Services (AWS),Angular;AngularJS;ASP.NET;ASP.NET CORE;Express;Gatsby;NestJS;Next.js;Node.js;React;Spring Boot
352,Microsoft Azure,Angular;AngularJS;ASP.NET;ASP.NET CORE;Express;Gatsby;NestJS;Next.js;Node.js;React;Spring Boot
353,Amazon Web Services (AWS),ASP.NET CORE;Blazor;Node.js
353,Microsoft Azure,ASP.NET CORE;Blazor;Node.js
355,Amazon Web Services (AWS),Spring Boot
358,Amazon Web Services (AWS),Flask;jQuery;Ruby on Rails
358,Colocation,Flask;jQuery;Ruby on Rails
358,Digital Ocean,Flask;jQuery;Ruby on Rails
358,Google Cloud,Flask;jQuery;Ruby on Rails
358,Heroku,Flask;jQuery;Ruby on Rails
358,Hetzner,Flask;jQuery;Ruby on Rails
358,Microsoft Azure,Flask;jQuery;Ruby on Rails
359,Google Cloud,Node.js
359,Heroku,Node.js
360,Amazon Web Services (AWS),Angular;AngularJS;ASP.NET;ASP.NET CORE;Django;Drupal;jQuery;Node.js;React;Remix;Ruby on Rails;Vue.js;WordPress
360,Cloudflare,Angular;AngularJS;ASP.NET;ASP.NET CORE;Django;Drupal;jQuery;Node.js;React;Remix;Ruby on Rails;Vue.js;WordPress
360,Firebase,Angular;AngularJS;ASP.NET;ASP.NET CORE;Django;Drupal;jQuery;Node.js;React;Remix;Ruby on Rails;Vue.js;WordPress
360,Google Cloud,Angular;AngularJS;ASP.NET;ASP.NET CORE;Django;Drupal;jQuery;Node.js;React;Remix;Ruby on Rails;Vue.js;WordPress
360,Heroku,Angular;AngularJS;ASP.NET;ASP.NET CORE;Django;Drupal;jQuery;Node.js;React;Remix;Ruby on Rails;Vue.js;WordPress
360,IBM Cloud Or Watson,Angular;AngularJS;ASP.NET;ASP.NET CORE;Django;Drupal;jQuery;Node.js;React;Remix;Ruby on Rails;Vue.js;WordPress
360,Managed Hosting,Angular;AngularJS;ASP.NET;ASP.NET CORE;Django;Drupal;jQuery;Node.js;React;Remix;Ruby on Rails;Vue.js;WordPress
360,Microsoft Azure,Angular;AngularJS;ASP.NET;ASP.NET CORE;Django;Drupal;jQuery;Node.js;React;Remix;Ruby on Rails;Vue.js;WordPress
367,Amazon Web Services (AWS),Astro;Laravel;NestJS
372,Amazon Web Services (AWS),Node.js;React;Spring Boot
373,Amazon Web Services (AWS),ASP.NET CORE
373,Cloudflare,ASP.NET CORE
378,Microsoft Azure,ASP.NET CORE;jQuery;Node.js
380,Amazon Web Services (AWS),Next.js;React;Vue.js
380,Cloudflare,Next.js;React;Vue.js
380,Digital Ocean,Next.js;React;Vue.js
380,Hetzner,Next.js;React;Vue.js
380,Netlify,Next.js;React;Vue.js
380,Vercel,Next.js;React;Vue.js
385,Cloudflare,ASP.NET CORE;React;Vue.js
385,Digital Ocean,ASP.NET CORE;React;Vue.js
385,Google Cloud,ASP.NET CORE;React;Vue.js
385,Microsoft Azure,ASP.NET CORE;React;Vue.js
386,Amazon Web Services (AWS),Django
386,Google Cloud,Django
389,Amazon Web Services (AWS),Django;Express;Next.js;Node.js;React
389,Cloudflare,Django;Express;Next.js;Node.js;React
389,Google Cloud,Django;Express;Next.js;Node.js;React
389,Netlify,Django;Express;Next.js;Node.js;React
389,OVH,Django;Express;Next.js;Node.js;React
389,Vercel,Django;Express;Next.js;Node.js;React
391,Amazon Web Services (AWS),Next.js;Node.js;React;Ruby on Rails
391,Heroku,Next.js;Node.js;React;Ruby on Rails
391,Hetzner,Next.js;Node.js;React;Ruby on Rails
391,Scaleway,Next.js;Node.js;React;Ruby on Rails
393,Amazon Web Services (AWS),React
395,Amazon Web Services (AWS),Next.js;Node.js;React;Vue.js;WordPress
395,Cloudflare,Next.js;Node.js;React;Vue.js;WordPress
395,Firebase,Next.js;Node.js;React;Vue.js;WordPress
395,Google Cloud,Next.js;Node.js;React;Vue.js;WordPress
395,Microsoft Azure,Next.js;Node.js;React;Vue.js;WordPress
395,OpenStack,Next.js;Node.js;React;Vue.js;WordPress
395,Vercel,Next.js;Node.js;React;Vue.js;WordPress
395,VMware,Next.js;Node.js;React;Vue.js;WordPress
399,Microsoft Azure,Angular;ASP.NET CORE;React
400,Amazon Web Services (AWS),Angular;ASP.NET;Express;React;Vue.js
400,Digital Ocean,Angular;ASP.NET;Express;React;Vue.js
400,Microsoft Azure,Angular;ASP.NET;Express;React;Vue.js
400,Vercel,Angular;ASP.NET;Express;React;Vue.js
408,Amazon Web Services (AWS),Astro;Express;FastAPI;Flask;Next.js;Node.js;React;Remix;Spring Boot
408,Digital Ocean,Astro;Express;FastAPI;Flask;Next.js;Node.js;React;Remix;Spring Boot
408,Firebase,Astro;Express;FastAPI;Flask;Next.js;Node.js;React;Remix;Spring Boot
408,Google Cloud,Astro;Express;FastAPI;Flask;Next.js;Node.js;React;Remix;Spring Boot
408,"Linode, now Akamai",Astro;Express;FastAPI;Flask;Next.js;Node.js;React;Remix;Spring Boot
408,Netlify,Astro;Express;FastAPI;Flask;Next.js;Node.js;React;Remix;Spring Boot
408,Render,Astro;Express;FastAPI;Flask;Next.js;Node.js;React;Remix;Spring Boot
408,Vercel,Astro;Express;FastAPI;Flask;Next.js;Node.js;React;Remix;Spring Boot
411,Amazon Web Services (AWS),AngularJS;Django;Express;FastAPI;jQuery;NestJS;Next.js;Node.js;React
411,Cloudflare,AngularJS;Django;Express;FastAPI;jQuery;NestJS;Next.js;Node.js;React
411,Google Cloud,AngularJS;Django;Express;FastAPI;jQuery;NestJS;Next.js;Node.js;React
412,Amazon Web Services (AWS),ASP.NET;Drupal;jQuery;Laravel;Node.js;WordPress;Yii 2
412,Google Cloud,ASP.NET;Drupal;jQuery;Laravel;Node.js;WordPress;Yii 2
412,Microsoft Azure,ASP.NET;Drupal;jQuery;Laravel;Node.js;WordPress;Yii 2
412,VMware,ASP.NET;Drupal;jQuery;Laravel;Node.js;WordPress;Yii 2
413,Amazon Web Services (AWS),Angular;Astro;Deno;Express;Fastify;Next.js;Node.js;React;Svelte
413,Fly.io,Angular;Astro;Deno;Express;Fastify;Next.js;Node.js;React;Svelte
413,Netlify,Angular;Astro;Deno;Express;Fastify;Next.js;Node.js;React;Svelte
413,Supabase,Angular;Astro;Deno;Express;Fastify;Next.js;Node.js;React;Svelte
413,Vercel,Angular;Astro;Deno;Express;Fastify;Next.js;Node.js;React;Svelte
417,Amazon Web Services (AWS),Express;Node.js;Phoenix
417,Fly.io,Express;Node.js;Phoenix
419,Amazon Web Services (AWS),Angular;AngularJS;Express;jQuery;Node.js;React;Spring Boot;Vue.js;WordPress;Yii 2
419,Cloudflare,Angular;AngularJS;Express;jQuery;Node.js;React;Spring Boot;Vue.js;WordPress;Yii 2
419,Colocation,Angular;AngularJS;Express;jQuery;Node.js;React;Spring Boot;Vue.js;WordPress;Yii 2
419,Digital Ocean,Angular;AngularJS;Express;jQuery;Node.js;React;Spring Boot;Vue.js;WordPress;Yii 2
419,Firebase,Angular;AngularJS;Express;jQuery;Node.js;React;Spring Boot;Vue.js;WordPress;Yii 2
419,Google Cloud,Angular;AngularJS;Express;jQuery;Node.js;React;Spring Boot;Vue.js;WordPress;Yii 2
419,Microsoft Azure,Angular;AngularJS;Express;jQuery;Node.js;React;Spring Boot;Vue.js;WordPress;Yii 2
421,Amazon Web Services (AWS),FastAPI
421,Google Cloud,FastAPI
430,Heroku,Laravel;Node.js;Symfony
430,VMware,Laravel;Node.js;Symfony
432,Amazon Web Services (AWS),ASP.NET;Node.js
432,Cloudflare,ASP.NET;Node.js
432,Firebase,ASP.NET;Node.js
432,Google Cloud,ASP.NET;Node.js
432,VMware,ASP.NET;Node.js
433,Amazon Web Services (AWS),Angular;ASP.NET CORE
433,Google Cloud,Angular;ASP.NET CORE
433,Microsoft Azure,Angular;ASP.NET CORE
434,Microsoft Azure,Gatsby;Node.js;React
434,Netlify,Gatsby;Node.js;React
444,Amazon Web Services (AWS),ASP.NET CORE;Flask;Next.js;Node.js;React
444,Netlify,ASP.NET CORE;Flask;Next.js;Node.js;React
445,Cloudflare,Next.js;WordPress
445,Firebase,Next.js;WordPress
445,Google Cloud,Next.js;WordPress
445,Vercel,Next.js;WordPress
450,Amazon Web Services (AWS),Angular;AngularJS;Node.js;React
450,Firebase,Angular;AngularJS;Node.js;React
450,Google Cloud,Angular;AngularJS;Node.js;React
452,Amazon Web Services (AWS),ASP.NET;ASP.NET CORE;Htmx;jQuery;Node.js;React;WordPress
452,Hetzner,ASP.NET;ASP.NET CORE;Htmx;jQuery;Node.js;React;WordPress
452,Managed Hosting,ASP.NET;ASP.NET CORE;Htmx;jQuery;Node.js;React;WordPress
453,Microsoft Azure,Angular;ASP.NET;ASP.NET CORE
454,Microsoft Azure,jQuery
464,Amazon Web Services (AWS),ASP.NET;Express;Next.js;Node.js;React
464,Cloudflare,ASP.NET;Express;Next.js;Node.js;React
464,Firebase,ASP.NET;Express;Next.js;Node.js;React
464,Microsoft Azure,ASP.NET;Express;Next.js;Node.js;React
466,Amazon Web Services (AWS),Django;FastAPI;Flask;Htmx
466,Google Cloud,Django;FastAPI;Flask;Htmx
466,Microsoft Azure,Django;FastAPI;Flask;Htmx
469,Amazon Web Services (AWS),Angular;Django;FastAPI;Flask;jQuery;React
469,Managed Hosting,Angular;Django;FastAPI;Flask;jQuery;React
471,Cloudflare,Angular
471,Managed Hosting,Angular
475,Alibaba Cloud,Django;Drupal;Express;Flask;Htmx;jQuery;Node.js;React;WordPress
475,Amazon Web Services (AWS),Django;Drupal;Express;Flask;Htmx;jQuery;Node.js;React;WordPress
475,Supabase,Django;Drupal;Express;Flask;Htmx;jQuery;Node.js;React;WordPress
480,Amazon Web Services (AWS),Spring Boot
484,Amazon Web Services (AWS),Express;Node.js;React;Vue.js
484,Heroku,Express;Node.js;React;Vue.js
486,Amazon Web Services (AWS),Express;Node.js;Spring Boot
489,Firebase,Gatsby;React
492,Digital Ocean,Next.js;Node.js;React;WordPress
493,Microsoft Azure,React;Spring Boot
494,Amazon Web Services (AWS),Astro;Express;Gatsby;Next.js;Node.js
494,Netlify,Astro;Express;Gatsby;Next.js;Node.js
495,Amazon Web Services (AWS),jQuery
495,Cloudflare,jQuery
497,Cloudflare,Django;Flask;jQuery;Node.js;Vue.js
497,Google Cloud,Django;Flask;jQuery;Node.js;Vue.js
497,Managed Hosting,Django;Flask;jQuery;Node.js;Vue.js
499,Microsoft Azure,Angular;ASP.NET;ASP.NET CORE;jQuery
500,Amazon Web Services (AWS),Express;Node.js;React;Svelte
500,Cloudflare,Express;Node.js;React;Svelte
500,Google Cloud,Express;Node.js;React;Svelte
