ResponseId,Country,EdLevel,Age,Employment_status
87,United Kingdom of Great Britain and Northern Ireland,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",45-54 years old,Full-time Employment
111,Greece,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",18-24 years old,Freelancer/Full-time Employment
113,Ireland,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",45-54 years old,Full-time Employment
114,United States of America,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",45-54 years old,Full-time Employment
119,Sweden,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34 years old,Full-time Employment
121,United Republic of Tanzania,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34 years old,Full-time Employment
122,Ireland,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",45-54 years old,Full-time Employment
125,Japan,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44 years old,Full-time Employment
127,India,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",25-34 years old,Full-time Employment
129,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44 years old,Freelancer
130,Sweden,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",35-44 years old,Full-time Employment
132,Germany,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34 years old,Full-time Employment
134,United Kingdom of Great Britain and Northern Ireland,Some college/university study without earning a degree,18-24 years old,Full-time Employment
138,Argentina,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44 years old,Full-time Employment
140,Pakistan,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Under 18 years old,Freelancer
142,Italy,Some college/university study without earning a degree,25-34 years old,Freelancer/Full-time Employment
150,Croatia,Some college/university study without earning a degree,35-44 years old,Full-time Employment
151,Turkey,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34 years old,Freelancer
156,Portugal,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",25-34 years old,Freelancer
158,United States of America,"Associate degree (A.A., A.S., etc.)",18-24 years old,Full-time Employment
159,Sri Lanka,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34 years old,Full-time Employment
163,Sri Lanka,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34 years old,Full-time Employment
166,United States of America,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44 years old,Full-time Employment
173,Romania,Some college/university study without earning a degree,18-24 years old,Full-time Employment
176,United States of America,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",25-34 years old,Full-time Employment
181,Portugal,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",25-34 years old,Full-time Employment
182,Poland,Some college/university study without earning a degree,18-24 years old,Freelancer
183,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34 years old,Full-time Employment
185,Hungary,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44 years old,Full-time Employment
189,Canada,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34 years old,Full-time Employment
190,Czech Republic,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",35-44 years old,Freelancer
191,Canada,Some college/university study without earning a degree,55-64 years old,Full-time Employment
192,Bulgaria,Some college/university study without earning a degree,35-44 years old,Full-time Employment
196,India,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",25-34 years old,Full-time Employment
200,India,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",45-54 years old,Full-time Employment
205,United States of America,Some college/university study without earning a degree,25-34 years old,Full-time Employment
208,France,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",18-24 years old,Full-time Employment
209,Netherlands,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34 years old,Full-time Employment
210,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34 years old,Full-time Employment
211,France,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",25-34 years old,Full-time Employment
212,United Kingdom of Great Britain and Northern Ireland,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",55-64 years old,Full-time Employment
215,Dominican Republic,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",35-44 years old,Full-time Employment
216,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34 years old,Full-time Employment
218,Brazil,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",25-34 years old,Full-time Employment
223,France,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44 years old,Full-time Employment
226,Germany,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",25-34 years old,Full-time Employment
230,United States of America,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",45-54 years old,Full-time Employment
235,India,Some college/university study without earning a degree,35-44 years old,Freelancer
238,Poland,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44 years old,Full-time Employment
242,United States of America,Some college/university study without earning a degree,45-54 years old,Full-time Employment
243,Morocco,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",18-24 years old,Full-time Student
254,Switzerland,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44 years old,Full-time Employment
256,Brazil,Some college/university study without earning a degree,35-44 years old,Full-time Employment
262,Sweden,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44 years old,Full-time Employment
263,Austria,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44 years old,Freelancer/Full-time Employment
274,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",45-54 years old,Full-time Employment
275,Russian Federation,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",18-24 years old,Full-time Employment
276,United Kingdom of Great Britain and Northern Ireland,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34 years old,Full-time Employment
280,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44 years old,Full-time Employment
281,Switzerland,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34 years old,Part-time Employment
284,Tunisia,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",18-24 years old,Part-time Employment
285,United Kingdom of Great Britain and Northern Ireland,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44 years old,Full-time Employment
293,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",55-64 years old,Full-time Employment
299,Bangladesh,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34 years old,Full-time Employment
300,United Kingdom of Great Britain and Northern Ireland,Some college/university study without earning a degree,45-54 years old,Full-time Employment
311,Ukraine,Some college/university study without earning a degree,25-34 years old,Full-time Employment
315,Germany,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44 years old,Full-time Employment
318,Bangladesh,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34 years old,Full-time Employment
320,Portugal,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",25-34 years old,Full-time Employment
324,Ukraine,Some college/university study without earning a degree,25-34 years old,Full-time Employment
326,Germany,Some college/university study without earning a degree,35-44 years old,Full-time Employment
331,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",18-24 years old,Full-time Employment
333,United States of America,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44 years old,Full-time Employment
341,Pakistan,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34 years old,Full-time Employment
342,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",45-54 years old,Full-time Employment
347,Viet Nam,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44 years old,Part-time Employment
351,United States of America,"Associate degree (A.A., A.S., etc.)",35-44 years old,Full-time Employment
352,India,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34 years old,Full-time Employment
353,France,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",55-64 years old,Full-time Employment
355,Belgium,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44 years old,Full-time Employment
358,Romania,Some college/university study without earning a degree,45-54 years old,Freelancer
359,United Kingdom of Great Britain and Northern Ireland,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",45-54 years old,Freelancer
360,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",45-54 years old,Freelancer/Full-time Employment
367,United Kingdom of Great Britain and Northern Ireland,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44 years old,Full-time Employment
372,Turkey,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44 years old,Full-time Employment
373,United Kingdom of Great Britain and Northern Ireland,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34 years old,Full-time Employment
378,Brazil,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44 years old,Full-time Employment
380,Turkey,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44 years old,Full-time Employment
385,United States of America,Some college/university study without earning a degree,35-44 years old,Full-time Employment
386,France,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44 years old,Freelancer
389,Spain,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44 years old,Freelancer
391,Germany,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44 years old,Freelancer
393,United Kingdom of Great Britain and Northern Ireland,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",35-44 years old,Full-time Employment
395,India,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34 years old,Full-time Employment
399,United States of America,Some college/university study without earning a degree,45-54 years old,Full-time Employment
400,Ukraine,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",18-24 years old,Full-time Employment
408,India,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",18-24 years old,Full-time Employment
411,United States of America,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",45-54 years old,Freelancer
412,Italy,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",55-64 years old,Part-time Employment
413,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34 years old,Full-time Employment
417,Brazil,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44 years old,Freelancer/Full-time Employment
419,Philippines,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44 years old,Freelancer
421,Portugal,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44 years old,Full-time Student
430,Sweden,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44 years old,Full-time Employment
432,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44 years old,Full-time Employment
433,United States of America,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",35-44 years old,Full-time Employment
434,United States of America,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44 years old,Full-time Employment
444,United Kingdom of Great Britain and Northern Ireland,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44 years old,Full-time Employment
445,United Kingdom of Great Britain and Northern Ireland,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34 years old,Full-time Employment
450,United Kingdom of Great Britain and Northern Ireland,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",25-34 years old,Full-time Employment
452,South Africa,Some college/university study without earning a degree,25-34 years old,Freelancer/Full-time Employment
453,Chile,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34 years old,Full-time Employment
454,United Kingdom of Great Britain and Northern Ireland,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",65 years or older,Full-time Employment
464,United Kingdom of Great Britain and Northern Ireland,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",25-34 years old,Full-time Employment
466,Italy,Some college/university study without earning a degree,45-54 years old,Freelancer
469,Germany,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44 years old,Full-time Employment
471,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",45-54 years old,Full-time Employment
475,Ghana,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44 years old,Freelancer
480,Brazil,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34 years old,Full-time Employment
484,Ukraine,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",25-34 years old,Full-time Employment
486,United States of America,"Associate degree (A.A., A.S., etc.)",25-34 years old,Full-time Employment
489,Russian Federation,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44 years old,Full-time Employment
492,France,Some college/university study without earning a degree,35-44 years old,Freelancer
493,Canada,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44 years old,Full-time Employment
494,Israel,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",45-54 years old,Full-time Employment
495,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",45-54 years old,Full-time Employment
497,United States of America,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",35-44 years old,Full-time Employment
499,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",55-64 years old,Full-time Employment
500,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",45-54 years old,Freelancer/Full-time Employment
502,Ukraine,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",25-34 years old,Full-time Employment
506,Germany,Some college/university study without earning a degree,35-44 years old,Freelancer
507,United Kingdom of Great Britain and Northern Ireland,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",45-54 years old,Freelancer
509,United Kingdom of Great Britain and Northern Ireland,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",45-54 years old,Freelancer/Full-time Employment
511,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44 years old,Full-time Employment
515,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44 years old,Freelancer
523,United States of America,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44 years old,Full-time Employment
529,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",45-54 years old,Full-time Employment
531,Germany,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44 years old,Full-time Employment
533,United States of America,Some college/university study without earning a degree,25-34 years old,Full-time Employment
535,Bolivia,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44 years old,Full-time Employment
543,Morocco,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",18-24 years old,Full-time Employment
546,United States of America,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",35-44 years old,Full-time Employment
548,India,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",18-24 years old,Full-time Employment
549,India,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",25-34 years old,Full-time Employment
553,Luxembourg,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44 years old,Freelancer
554,Georgia,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44 years old,Full-time Employment
557,Greece,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34 years old,Freelancer/Full-time Employment
562,Ireland,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",18-24 years old,Full-time Student
565,Saudi Arabia,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44 years old,Part-time Employment
567,United States of America,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44 years old,Full-time Employment
570,Brazil,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34 years old,Freelancer/Full-time Employment
571,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44 years old,Full-time Employment
573,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",55-64 years old,Full-time Employment
574,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34 years old,Full-time Employment
577,Germany,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44 years old,Freelancer
580,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",45-54 years old,Full-time Employment
585,Bangladesh,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44 years old,Full-time Employment
588,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",65 years or older,Full-time Employment
589,United States of America,Something else,18-24 years old,Full-time Student
591,India,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44 years old,Full-time Employment
593,United States of America,"Associate degree (A.A., A.S., etc.)",35-44 years old,Full-time Employment
595,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34 years old,Full-time Employment
601,Algeria,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",25-34 years old,Freelancer/Full-time Employment
603,Ukraine,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",18-24 years old,Full-time Employment
604,United Kingdom of Great Britain and Northern Ireland,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44 years old,Full-time Employment
607,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",55-64 years old,Full-time Employment
608,Switzerland,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34 years old,Part-time Employment
609,United States of America,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",25-34 years old,Freelancer/Full-time Employment
613,Spain,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",25-34 years old,Full-time Employment
614,India,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",18-24 years old,Part-time Employment
619,United Kingdom of Great Britain and Northern Ireland,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44 years old,Full-time Employment
620,Italy,"Associate degree (A.A., A.S., etc.)",18-24 years old,Freelancer
621,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34 years old,Full-time Employment
624,Sweden,Some college/university study without earning a degree,35-44 years old,Full-time Employment
632,Switzerland,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",18-24 years old,Full-time Employment
641,Ireland,Some college/university study without earning a degree,45-54 years old,Freelancer
642,Germany,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",35-44 years old,Full-time Employment
643,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",55-64 years old,Full-time Employment
645,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",45-54 years old,Full-time Employment
647,Bulgaria,Some college/university study without earning a degree,35-44 years old,Full-time Employment
650,Lithuania,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",25-34 years old,Full-time Employment
651,Italy,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34 years old,Full-time Employment
654,Kazakhstan,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",25-34 years old,Full-time Employment
655,United Kingdom of Great Britain and Northern Ireland,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",18-24 years old,Full-time Employment
657,Netherlands,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",55-64 years old,Full-time Employment
663,Romania,Some college/university study without earning a degree,35-44 years old,Freelancer/Full-time Employment
666,India,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",25-34 years old,Full-time Employment
670,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",18-24 years old,Full-time Employment
672,United States of America,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44 years old,Full-time Employment
674,Germany,Some college/university study without earning a degree,35-44 years old,Full-time Employment
675,United States of America,Some college/university study without earning a degree,35-44 years old,Freelancer/Full-time Employment
687,India,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",18-24 years old,Full-time Student
688,Brazil,Some college/university study without earning a degree,18-24 years old,Full-time Employment
690,Italy,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34 years old,Full-time Employment
691,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",55-64 years old,Full-time Employment
692,France,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",25-34 years old,Full-time Employment
695,Netherlands,Some college/university study without earning a degree,45-54 years old,Full-time Employment
698,India,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",18-24 years old,Full-time Employment
699,Ukraine,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",18-24 years old,Full-time Employment
700,Germany,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",45-54 years old,Full-time Employment
701,Canada,"Associate degree (A.A., A.S., etc.)",25-34 years old,Freelancer/Full-time Employment
704,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",45-54 years old,Freelancer
705,Jordan,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34 years old,Freelancer
709,United States of America,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44 years old,Full-time Employment
715,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44 years old,Full-time Employment
723,India,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",18-24 years old,Freelancer/Full-time Employment
727,Chile,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44 years old,Full-time Employment
728,United Kingdom of Great Britain and Northern Ireland,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44 years old,Part-time Employment
729,Italy,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44 years old,Full-time Employment
731,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34 years old,Full-time Employment
735,Czech Republic,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",25-34 years old,Freelancer
738,Ukraine,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",25-34 years old,Full-time Employment
741,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",45-54 years old,Full-time Employment
744,Turkey,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44 years old,Freelancer
745,Netherlands,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",25-34 years old,Full-time Employment
760,Austria,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",25-34 years old,Full-time Employment
763,United States of America,Some college/university study without earning a degree,18-24 years old,Full-time Student
767,Ukraine,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",25-34 years old,Freelancer/Full-time Employment
770,Poland,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44 years old,Freelancer
772,Italy,Some college/university study without earning a degree,45-54 years old,Full-time Employment
773,Ukraine,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",18-24 years old,Full-time Student
779,Canada,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44 years old,Full-time Employment
780,Canada,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34 years old,Full-time Employment
782,United States of America,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44 years old,Freelancer/Full-time Employment
788,United Kingdom of Great Britain and Northern Ireland,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",35-44 years old,Full-time Employment
790,Ukraine,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44 years old,Full-time Employment
791,United Kingdom of Great Britain and Northern Ireland,Some college/university study without earning a degree,45-54 years old,Full-time Employment
797,"Venezuela, Bolivarian Republic of...","Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34 years old,Full-time Employment
808,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34 years old,Full-time Employment
811,United States of America,Some college/university study without earning a degree,55-64 years old,Full-time Employment
813,India,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34 years old,Full-time Employment
814,Poland,Something else,35-44 years old,Freelancer
816,Italy,"Associate degree (A.A., A.S., etc.)",25-34 years old,Full-time Employment
820,Denmark,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",65 years or older,Full-time Employment
824,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44 years old,Full-time Employment
825,United States of America,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",25-34 years old,Freelancer/Full-time Employment
826,India,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34 years old,Full-time Employment
827,Sweden,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44 years old,Full-time Employment
829,United States of America,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44 years old,Full-time Employment
832,United States of America,"Associate degree (A.A., A.S., etc.)",45-54 years old,Full-time Employment
834,South Africa,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44 years old,Part-time Employment
844,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",18-24 years old,Full-time Employment
848,Portugal,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",25-34 years old,Full-time Employment
849,Ukraine,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",25-34 years old,Freelancer/Full-time Employment
852,Austria,Something else,35-44 years old,Freelancer/Full-time Employment
857,United Kingdom of Great Britain and Northern Ireland,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",25-34 years old,Full-time Employment
859,United Kingdom of Great Britain and Northern Ireland,Some college/university study without earning a degree,45-54 years old,Freelancer
861,Nicaragua,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44 years old,Full-time Employment
